[ 22220][I][app_httpd.cpp:291] stream_handler(): MJPG: 8339B 24ms (41.67fps), AVG: 26ms (38.46fps), Temperature: 58.33
[ 22259][I][app_httpd.cpp:291] stream_handler(): MJPG: 7535B 38ms (26.32fps), AVG: 27ms (37.04fps), Temperature: 58.33
[ 22301][I][app_httpd.cpp:291] stream_handler(): MJPG: 6632B 42ms (23.81fps), AVG: 27ms (37.04fps), Temperature: 58.33
[ 22327][I][app_httpd.cpp:291] stream_handler(): MJPG: 7108B 25ms (40.00fps), AVG: 27ms (37.04fps), Temperature: 58.33
[ 22355][I][app_httpd.cpp:291] stream_handler(): MJPG: 8083B 27ms (37.04fps), AVG: 27ms (37.04fps), Temperature: 58.89
[ 22384][I][app_httpd.cpp:291] stream_handler(): MJPG: 8083B 28ms (35.71fps), AVG: 27ms (37.04fps), Temperature: 58.33
[ 22405][I][app_httpd.cpp:291] stream_handler(): MJPG: 6942B 21ms (47.62fps), AVG: 26ms (38.46fps), Temperature: 58.89
[ 22438][I][app_httpd.cpp:291] stream_handler(): MJPG: 8388B 32ms (31.25fps), AVG: 27ms (37.04fps), Temperature: 58.89
[ 22464][I][app_httpd.cpp:291] stream_handler(): MJPG: 7111B 25ms (40.00fps), AVG: 27ms (37.04fps), Temperature: 58.89
[ 22496][I][app_httpd.cpp:291] stream_handler(): MJPG: 8444B 32ms (31.25fps), AVG: 27ms (37.04fps), Temperature: 58.33
[ 22522][I][app_httpd.cpp:291] stream_handler(): MJPG: 7622B 26ms (38.46fps), AVG: 27ms (37.04fps), Temperature: 58.89
[ 22544][I][app_httpd.cpp:291] stream_handler(): MJPG: 7622B 22ms (45.45fps), AVG: 27ms (37.04fps), Temperature: 58.33
[ 22567][I][app_httpd.cpp:291] stream_handler(): MJPG: 7976B 22ms (45.45fps), AVG: 27ms (37.04fps), Temperature: 58.33
[ 22594][I][app_httpd.cpp:291] stream_handler(): MJPG: 8171B 27ms (37.04fps), AVG: 27ms (37.04fps), Temperature: 58.89
[ 22619][I][app_httpd.cpp:291] stream_handler(): MJPG: 8171B 24ms (41.67fps), AVG: 27ms (37.04fps), Temperature: 58.89
[ 22646][I][app_httpd.cpp:291] stream_handler(): MJPG: 8171B 26ms (38.46fps), AVG: 27ms (37.04fps), Temperature: 58.89
[ 22672][I][app_httpd.cpp:291] stream_handler(): MJPG: 8414B 26ms (38.46fps), AVG: 27ms (37.04fps), Temperature: 58.33
[ 22709][I][app_httpd.cpp:291] stream_handler(): MJPG: 8050B 36ms (27.78fps), AVG: 27ms (37.04fps), Temperature: 58.89
[ 22731][I][app_httpd.cpp:291] stream_handler(): MJPG: 8172B 22ms (45.45fps), AVG: 27ms (37.04fps), Temperature: 58.89
[ 22758][I][app_httpd.cpp:291] stream_handler(): MJPG: 8770B 27ms (37.04fps), AVG: 27ms (37.04fps), Temperature: 58.89
[ 22788][I][app_httpd.cpp:291] stream_handler(): MJPG: 7851B 29ms (34.48fps), AVG: 27ms (37.04fps), Temperature: 58.89
[ 22812][I][app_httpd.cpp:291] stream_handler(): MJPG: 8662B 24ms (41.67fps), AVG: 27ms (37.04fps), Temperature: 58.89
[ 22834][I][app_httpd.cpp:291] stream_handler(): MJPG: 8267B 21ms (47.62fps), AVG: 26ms (38.46fps), Temperature: 58.89
[ 22862][I][app_httpd.cpp:291] stream_handler(): MJPG: 6996B 28ms (35.71fps), AVG: 26ms (38.46fps), Temperature: 58.89
[ 22885][I][app_httpd.cpp:291] stream_handler(): MJPG: 7328B 22ms (45.45fps), AVG: 26ms (38.46fps), Temperature: 58.89
[ 22908][I][app_httpd.cpp:291] stream_handler(): MJPG: 7894B 23ms (43.48fps), AVG: 25ms (40.00fps), Temperature: 58.89
[ 22933][I][app_httpd.cpp:291] stream_handler(): MJPG: 8775B 24ms (41.67fps), AVG: 25ms (40.00fps), Temperature: 58.89
[ 22957][I][app_httpd.cpp:291] stream_handler(): MJPG: 7137B 24ms (41.67fps), AVG: 25ms (40.00fps), Temperature: 58.89
[ 22980][I][app_httpd.cpp:291] stream_handler(): MJPG: 7157B 23ms (43.48fps), AVG: 25ms (40.00fps), Temperature: 58.89
[ 23013][I][app_httpd.cpp:291] stream_handler(): MJPG: 9275B 33ms (30.30fps), AVG: 25ms (40.00fps), Temperature: 58.89
