[104579][I][app_httpd.cpp:291] stream_handler(): MJPG: 7076B 21ms (47.62fps), AVG: 24ms (41.67fps), Temperature: 62.22
[104607][I][app_httpd.cpp:291] stream_handler(): MJPG: 7076B 28ms (35.71fps), AVG: 24ms (41.67fps), Temperature: 62.78
[104628][I][app_httpd.cpp:291] stream_handler(): MJPG: 7076B 20ms (50.00fps), AVG: 24ms (41.67fps), Temperature: 62.22
[104649][I][app_httpd.cpp:291] stream_handler(): MJPG: 7123B 21ms (47.62fps), AVG: 24ms (41.67fps), Temperature: 62.22
[104674][I][app_httpd.cpp:291] stream_handler(): MJPG: 7875B 24ms (41.67fps), AVG: 24ms (41.67fps), Temperature: 62.22
[104698][I][app_httpd.cpp:291] stream_handler(): MJPG: 7875B 24ms (41.67fps), AVG: 24ms (41.67fps), Temperature: 62.22
[104722][I][app_httpd.cpp:291] stream_handler(): MJPG: 7119B 24ms (41.67fps), AVG: 24ms (41.67fps), Temperature: 62.78
[104750][I][app_httpd.cpp:291] stream_handler(): MJPG: 7875B 27ms (37.04fps), AVG: 24ms (41.67fps), Temperature: 62.22
[104791][I][app_httpd.cpp:291] stream_handler(): MJPG: 7875B 41ms (24.39fps), AVG: 25ms (40.00fps), Temperature: 62.22
[104814][I][app_httpd.cpp:291] stream_handler(): MJPG: 6553B 22ms (45.45fps), AVG: 25ms (40.00fps), Temperature: 62.22
[104844][I][app_httpd.cpp:291] stream_handler(): MJPG: 7875B 30ms (33.33fps), AVG: 25ms (40.00fps), Temperature: 62.22
[104870][I][app_httpd.cpp:291] stream_handler(): MJPG: 6604B 25ms (40.00fps), AVG: 25ms (40.00fps), Temperature: 62.22
[104892][I][app_httpd.cpp:291] stream_handler(): MJPG: 6604B 22ms (45.45fps), AVG: 25ms (40.00fps), Temperature: 62.22
[104918][I][app_httpd.cpp:291] stream_handler(): MJPG: 7875B 25ms (40.00fps), AVG: 25ms (40.00fps), Temperature: 62.22
[104941][I][app_httpd.cpp:291] stream_handler(): MJPG: 6618B 22ms (45.45fps), AVG: 25ms (40.00fps), Temperature: 62.22
[104967][I][app_httpd.cpp:291] stream_handler(): MJPG: 6703B 26ms (38.46fps), AVG: 25ms (40.00fps), Temperature: 62.22
[104998][I][app_httpd.cpp:291] stream_handler(): MJPG: 7089B 30ms (33.33fps), AVG: 25ms (40.00fps), Temperature: 62.22
[105023][I][app_httpd.cpp:291] stream_handler(): MJPG: 7089B 25ms (40.00fps), AVG: 25ms (40.00fps), Temperature: 62.78
[105049][I][app_httpd.cpp:291] stream_handler(): MJPG: 7149B 26ms (38.46fps), AVG: 25ms (40.00fps), Temperature: 62.22
[105072][I][app_httpd.cpp:291] stream_handler(): MJPG: 7875B 23ms (43.48fps), AVG: 25ms (40.00fps), Temperature: 62.22
[105094][I][app_httpd.cpp:291] stream_handler(): MJPG: 7875B 21ms (47.62fps), AVG: 25ms (40.00fps), Temperature: 62.22
[105117][I][app_httpd.cpp:291] stream_handler(): MJPG: 7875B 22ms (45.45fps), AVG: 25ms (40.00fps), Temperature: 62.22
[105140][I][app_httpd.cpp:291] stream_handler(): MJPG: 7875B 23ms (43.48fps), AVG: 25ms (40.00fps), Temperature: 62.22
[105166][I][app_httpd.cpp:291] stream_handler(): MJPG: 6898B 25ms (40.00fps), AVG: 25ms (40.00fps), Temperature: 62.22
[105189][I][app_httpd.cpp:291] stream_handler(): MJPG: 7875B 22ms (45.45fps), AVG: 25ms (40.00fps), Temperature: 62.22
[105211][I][app_httpd.cpp:291] stream_handler(): MJPG: 6824B 22ms (45.45fps), AVG: 25ms (40.00fps), Temperature: 62.22
[105235][I][app_httpd.cpp:291] stream_handler(): MJPG: 7875B 24ms (41.67fps), AVG: 25ms (40.00fps), Temperature: 62.22
[105258][I][app_httpd.cpp:291] stream_handler(): MJPG: 6946B 22ms (45.45fps), AVG: 24ms (41.67fps), Temperature: 61.67
[105277][I][app_httpd.cpp:291] stream_handler(): MJPG: 6947B 19ms (52.63fps), AVG: 23ms (43.48fps), Temperature: 62.22
[105312][I][app_httpd.cpp:291] stream_handler(): MJPG: 6947B 34ms (29.41fps), AVG: 24ms (41.67fps), Temperature: 62.22
[105335][I][app_httpd.cpp:291] stream_handler(): MJPG: 6947B 23ms (43.48fps), AVG: 24ms (41.67fps), Temperature: 62.22
[105361][I][app_httpd.cpp:291] stream_handler(): MJPG: 7875B 25ms (40.00fps), AVG: 24ms (41.67fps), Temperature: 62.22
[105383][I][app_httpd.cpp:291] stream_handler(): MJPG: 7875B 22ms (45.45fps), AVG: 24ms (41.67fps), Temperature: 62.22
[105407][I][app_httpd.cpp:291] stream_handler(): MJPG: 7875B 24ms (41.67fps), AVG: 24ms (41.67fps), Temperature: 62.22
[105430][I][app_httpd.cpp:291] stream_handler(): MJPG: 6966B 23ms (43.48fps), AVG: 24ms (41.67fps), Temperature: 62.22
[105450][I][app_httpd.cpp:291] stream_handler(): MJPG: 6983B 19ms (52.63fps), AVG: 23ms (43.48fps), Temperature: 62.22
[105471][I][app_httpd.cpp:291] stream_handler(): MJPG: 6983B 20ms (50.00fps), AVG: 23ms (43.48fps), Temperature: 62.22
[105494][I][app_httpd.cpp:291] stream_handler(): MJPG: 7875B 22ms (45.45fps), AVG: 23ms (43.48fps), Temperature: 62.22
[105516][I][app_httpd.cpp:291] stream_handler(): MJPG: 7902B 21ms (47.62fps), AVG: 22ms (45.45fps), Temperature: 62.22
[105537][I][app_httpd.cpp:291] stream_handler(): MJPG: 7131B 21ms (47.62fps), AVG: 22ms (45.45fps), Temperature: 62.22
[105560][I][app_httpd.cpp:291] stream_handler(): MJPG: 7140B 22ms (45.45fps), AVG: 22ms (45.45fps), Temperature: 62.22
[105592][I][app_httpd.cpp:291] stream_handler(): MJPG: 7140B 31ms (32.26fps), AVG: 23ms (43.48fps), Temperature: 63.89
[105613][I][app_httpd.cpp:291] stream_handler(): MJPG: 7928B 21ms (47.62fps), AVG: 23ms (43.48fps), Temperature: 62.78
[105639][I][app_httpd.cpp:291] stream_handler(): MJPG: 6658B 25ms (40.00fps), AVG: 23ms (43.48fps), Temperature: 62.22
[105661][I][app_httpd.cpp:291] stream_handler(): MJPG: 6919B 21ms (47.62fps), AVG: 23ms (43.48fps), Temperature: 62.78
[105701][I][app_httpd.cpp:291] stream_handler(): MJPG: 7928B 40ms (25.00fps), AVG: 23ms (43.48fps), Temperature: 62.22
[105728][I][app_httpd.cpp:291] stream_handler(): MJPG: 7928B 26ms (38.46fps), AVG: 24ms (41.67fps), Temperature: 62.22
